Código | Menú | Sub Menú | Función

1.0.0 | Dashboard | - | Dashboard (/)

2.1.0 | Operaciones | - | Reporte Diario (/reporte-diario)
2.2.0 | Operaciones | - | Libro de Novedades (/bitacora-turnos)

2.3.0 | Controles | - | -
2.3.1 | Controles | - | Visitas (/visitas)
2.3.2 | Controles | - | Encomiendas (/correspondencia)
2.3.3 | Controles | - | Contratistas (/registro-contratistas)

2.4.0 | Gestión | - | -
2.4.1 | Gestión | - | Solicitud Insumos (/solicitud-insumos)
2.4.2 | Gestión | - | Gestión Registros CCTV (/camaras)

3.0.0 | Gestión | - | Hogar (Solo Residentes/Propietarios)
3.1.0 | Gestión | - | Mis Pagos (/gastos-comunes)

4.0.0 | Soporte y Servicios | - | -
4.1.0 | Soporte y Servicios | - | Atención y Soporte (/reclamos)
4.2.0 | Soporte y Servicios | - | Reserva Espacios Comunes (/reservas)
4.3.0 | Soporte y Servicios | - | Directorio de Servicios (/servicios-residentes)
4.4.0 | Soporte y Servicios | - | Números Emergencia (/emergencias)

5.0.0 | Administración | - | -
5.1.0 | Administración | - | Gestión Estratégica (/dashboard-kpi)
5.2.0 | Administración | - | Centro de Gestiones (/tickets)

5.3.0 | Administración | Comunidad | -
5.3.1 | Administración | Comunidad | Residentes
5.3.2 | Administración | Comunidad | Propietarios (/propietarios)
5.3.3 | Administración | Comunidad | Directiva (/directiva)
5.3.4 | Administración | Comunidad | Mensajes Dirigidos (Email) (/mensajes-dirigidos)
5.3.5 | Administración | Comunidad | Avisos del Sistema (Visor) (/mensajes)

5.4.0 | Administración | Recursos Humanos | -
5.4.1 | Administración | Recursos Humanos | Maestro Personal (/personal)
5.4.2 | Administración | Recursos Humanos | Servicios / Contratistas (/contratistas)
5.4.3 | Administración | Recursos Humanos | Gestión de Nómina (/liquidaciones)
5.4.4 | Administración | Recursos Humanos | Entrega de EPP (/entregas-articulos)
5.4.5 | Administración | Recursos Humanos | Certificados (/certificados)

5.5.0 | Administración | Finanzas | -
5.5.1 | Administración | Finanzas | Gastos Comunes Admin (/gastos-comunes)
5.5.2 | Administración | Finanzas | Registro de Egresos (/registro-gastos)
5.5.3 | Administración | Finanzas | Reglas de Cobro (/reglas-gastos-comunes)
5.5.4 | Administración | Finanzas | Fondos Especiales (/maestro-fondos)
5.5.5 | Administración | Finanzas | Activo Fijo (/activo-fijo)

6.0.0 | Ajustes de Sistema | Ajustes de Sistema | -
6.1.0 | Ajustes de Sistema | - | Configuración Comunidad (/configuracion)
6.2.0 | Ajustes de Sistema | - | Configuración Email (/maestro-correos)
6.3.0 | Ajustes de Sistema | - | Parámetros Generales (/parametros)
6.4.0 | Ajustes de Sistema | - | Perfiles de Acceso (/perfiles)

7.0.0 | Maestros Base | Base | -

7.1.0 | Maestros Base | Infraestructura | -
7.1.1 | Maestros Base | Infraestructura | Edificios y propiedades (/infraestructura)
7.1.2 | Maestros Base | Infraestructura | Tipos de Unidad (/tipos-unidad)
7.1.3 | Maestros Base | Infraestructura | Espacios Comunes (/espacios)
7.1.4 | Maestros Base | Infraestructura | Estacionamientos (/estacionamientos)

7.2.0 | Maestros Base | Recursos Humanos | -
7.2.1 | Maestros Base | Recursos Humanos | Previsiones (/previsiones)
7.2.2 | Maestros Base | Recursos Humanos | AFPs (/afps)
7.2.3 | Maestros Base | Recursos Humanos | Maestro AFC (/afc)
7.2.4 | Maestros Base | Recursos Humanos | Maestro Insumos y EPP (/articulos-personal)
7.2.5 | Maestros Base | Recursos Humanos | Maestro Categorías de Insumos (/maestro-categorias-articulos)
7.2.6 | Maestros Base | Recursos Humanos | Maestro Feriados (/feriados)

7.3.0 | Maestros Base | Finanzas y Operación | -
7.3.1 | Maestros Base | Finanzas y Operación | Bancos (/bancos)
7.3.2 | Maestros Base | Finanzas y Operación | Maestro IPC (/maestro-ipc)
7.3.3 | Maestros Base | Finanzas y Operación | Maestro de Bitácora y Cámaras (/maestros-operativos)
7.3.4 | Maestros Base | Finanzas y Operación | Mensajes Prefijados (/maestro-mensajes)
7.3.5 | Maestros Base | Finanzas y Operación | Números Emergencia (/maestro-emergencias)
7.3.6 | Maestros Base | Finanzas y Operación | Condiciones Especiales (/condiciones-especiales)

8.0.0 | Super Admin | Admin | -
8.1.0 | Super Admin | - | Carga Masiva de Datos (/carga-masiva)
